ticker,transaction_key,transaction_date,reporting_name,transaction_type,shares,price,value,filing_date,securities_owned
NEM,96a1035c78a5,2026-03-18,TOTH PETER,S-SALE,3000.0,108.0,324000.0,2026-03-20,55315.0
NEM,eba6b07d5622,2026-03-16,FRY DAVID JAMES,S-SALE,18394.0,111.45,2050011.3,2026-03-18,17147.0
NEM,9207315fbc88,2026-03-03,RODGERS MARK C,S-SALE,1361.0,120.78,164381.58,2026-03-04,25756.0
NEM,929574be1b89,2026-03-03,THORNTON DAVID JOHN,S-SALE,8060.0,120.78,973486.8,2026-03-04,27264.0
NEM,2fd46e693656,2026-02-27,TABOLT BRIAN,A-AWARD,490.0,0.0,0.0,2026-03-03,33709.0
NEM,8881ea2d30e7,2026-03-02,TABOLT BRIAN,F-INKIND,215.0,127.47,27406.05,2026-03-03,33494.0
NEM,99596941fcd0,2026-02-27,CMIL JENNIFER,A-AWARD,2041.0,0.0,0.0,2026-03-03,70493.0
NEM,c06e3f0b0f37,2026-03-02,CMIL JENNIFER,F-INKIND,893.0,127.47,113830.70999999999,2026-03-03,69600.0
NEM,b7ff8dc1a829,2026-02-27,THORNTON DAVID JOHN,A-AWARD,1361.0,0.0,0.0,2026-03-03,36867.0
NEM,aa75106fc430,2026-03-02,THORNTON DAVID JOHN,F-INKIND,599.0,127.47,76354.53,2026-03-03,36268.0
NEM,82726556ff0d,2026-03-02,THORNTON DAVID JOHN,S-SALE,944.0,131.14,123796.15999999999,2026-03-03,35324.0
NEM,ef55bd900e51,2026-02-27,HARDY FRANCOIS,A-AWARD,1701.0,0.0,0.0,2026-03-03,38232.0
NEM,c97fce1390a4,2026-03-02,HARDY FRANCOIS,F-INKIND,745.0,127.47,94965.15,2026-03-03,37487.0
NEM,b8629ccd5834,2026-02-26,HARDY FRANCOIS,F-INKIND,3206.0,124.85,400269.1,2026-03-02,37934.0
NEM,c18c879c736a,2026-02-27,HARDY FRANCOIS,F-INKIND,1403.0,127.47,178840.41,2026-03-02,36531.0
NEM,ad8edeec7bd3,2026-02-26,TABOLT BRIAN,F-INKIND,2005.0,124.85,250324.25,2026-03-02,34431.0
NEM,3dc62300c1a8,2026-02-27,TABOLT BRIAN,F-INKIND,1212.0,127.47,154493.63999999998,2026-03-02,33219.0
NEM,2cda06faf9f7,2026-02-26,THORNTON DAVID JOHN,F-INKIND,1921.0,124.85,239836.84999999998,2026-03-02,36635.0
NEM,23d90a122c0c,2026-02-27,THORNTON DAVID JOHN,F-INKIND,1129.0,127.47,143913.63,2026-03-02,35506.0
NEM,d7bd95bb7158,2026-02-26,TOTH PETER,F-INKIND,3321.0,124.85,414626.85,2026-03-02,59011.0
NEM,ce92e16f1153,2026-02-27,TOTH PETER,F-INKIND,2188.0,127.47,278904.36,2026-03-02,56823.0
NEM,057573fae555,2026-02-26,VILJOEN NATASCHA,F-INKIND,5208.0,124.85,650218.7999999999,2026-03-02,146881.0
NEM,e619e26f9520,2026-02-27,RODGERS MARK C,S-SALE,4443.0,130.0,577590.0,2026-03-02,27807.0
NEM,e655ca6369b8,2026-02-26,CMIL JENNIFER,F-INKIND,1451.0,124.85,181157.35,2026-03-02,70135.0
NEM,a2db524392a6,2026-02-27,CMIL JENNIFER,F-INKIND,1683.0,127.47,214532.01,2026-03-02,68452.0
NEM,28ced005cff8,2026-02-25,RODGERS MARK C,S-SALE,5147.0,125.0,643375.0,2026-02-27,32250.0
NEM,ceb43d941c45,2026-02-23,THORNTON DAVID JOHN,A-AWARD,4426.0,0.0,0.0,2026-02-25,39923.0
NEM,f70a4ed94ca1,2026-02-24,THORNTON DAVID JOHN,F-INKIND,1367.0,124.25,169849.75,2026-02-25,38556.0
NEM,a9ee106fe70e,2026-02-23,TABOLT BRIAN,A-AWARD,5277.0,0.0,0.0,2026-02-25,37403.0
NEM,8fa2ddf69f2f,2026-02-24,TABOLT BRIAN,F-INKIND,967.0,124.25,120149.75,2026-02-25,36436.0
NEM,25f664ad62a2,2026-02-23,TABOLT BRIAN,A-AWARD,2213.0,0.0,0.0,2026-02-25,32126.0
NEM,59e0e6f98e5f,2026-02-23,FRY DAVID JAMES,A-AWARD,3219.0,0.0,0.0,2026-02-25,34724.0
NEM,11c156418dee,2026-02-23,WEXLER PETER,A-AWARD,4694.0,0.0,0.0,2026-02-25,93463.0
NEM,fc729e2ab907,2026-02-24,WEXLER PETER,F-INKIND,1812.0,124.25,225141.0,2026-02-25,91651.0
NEM,bfb00caa974b,2026-02-23,TOTH PETER,A-AWARD,5902.0,0.0,0.0,2026-02-25,64638.0
NEM,c0cff85e8150,2026-02-24,TOTH PETER,F-INKIND,2306.0,124.25,286520.5,2026-02-25,62332.0
NEM,cffcb7af0c28,2026-02-23,VILJOEN NATASCHA,A-AWARD,18779.0,0.0,0.0,2026-02-25,157457.0
NEM,7fe3d2f25349,2026-02-24,VILJOEN NATASCHA,F-INKIND,3549.0,124.25,440963.25,2026-02-25,153908.0
NEM,919c47f19b15,2026-02-24,VILJOEN NATASCHA,F-INKIND,1819.0,124.25,226010.75,2026-02-25,152089.0
NEM,d147697bc56e,2026-02-24,CMIL JENNIFER,F-INKIND,1207.0,124.25,149969.75,2026-02-25,71586.0
NEM,dd0da954fcf3,2026-02-23,HARDY FRANCOIS,A-AWARD,4292.0,0.0,0.0,2026-02-25,42903.0
NEM,d0796709ba09,2026-02-24,HARDY FRANCOIS,F-INKIND,1763.0,124.25,219052.75,2026-02-25,41140.0
NEM,9cd07ef40a83,2026-02-23,RODGERS MARK C,A-AWARD,4426.0,0.0,0.0,2026-02-25,37397.0
NEM,5dc77c6234db,2026-01-01,THORNTON DAVID JOHN,,0.0,0.0,0.0,2026-01-09,35497.0
NEM,e48699369d11,2026-01-01,RODGERS MARK C,,0.0,0.0,0.0,2026-01-09,32971.0
NEM,32b68e1d09c0,2026-01-01,FRY DAVID JAMES,,0.0,0.0,0.0,2026-01-09,31505.0
NEM,f73e254ba130,2025-12-30,CMIL JENNIFER,F-INKIND,609.0,109.43,66642.87000000001,2026-01-02,72793.0
NEM,696c73d17f87,2025-12-30,PALMER THOMAS RONALD,F-INKIND,522.0,109.43,57122.46000000001,2026-01-02,279401.0
NEM,e27a5a641400,2025-12-01,BROOK BRUCE R,S-SALE,2080.0,92.36,192108.8,2025-12-03,32709.0
NEM,47bbf87cd63b,2025-11-03,TABOLT BRIAN,F-INKIND,2702.0,80.97,218780.94,2025-11-05,29913.0
NEM,fbfc76d48149,2025-11-03,BROOK BRUCE R,S-SALE,2080.0,80.96,168396.8,2025-11-05,34789.0
NEM,ac97d00367a6,2025-11-03,PALMER THOMAS RONALD,S-SALE,5000.0,81.34,406700.0,2025-11-05,279923.0
NEM,18dc930c5fb0,2025-10-30,VILJOEN NATASCHA,F-INKIND,21898.0,79.67,1744613.6600000001,2025-11-03,138678.0
NEM,9515df5da649,2025-10-01,BROOK BRUCE R,S-SALE,2080.0,84.99,176779.19999999998,2025-10-03,36869.0
NEM,ee74cda2336f,2025-09-02,BROOK BRUCE R,S-SALE,2077.0,74.59,154923.43,2025-09-04,38949.0
NEM,a2c357a5f45c,2025-08-06,TABOLT BRIAN,S-SALE,7015.0,68.02,477160.3,2025-08-08,32615.0
NEM,44379c4abcca,2025-08-01,TOTH PETER,S-SALE,3000.0,63.66,190980.0,2025-08-05,58736.0
NEM,00ff55d0d746,2025-08-01,BROOK BRUCE R,S-SALE,2077.0,63.66,132221.82,2025-08-05,41026.0
NEM,08a505e08915,2025-07-28,WEXLER PETER,A-AWARD,15708.0,0.0,0.0,2025-07-30,88769.0
NEM,4fe6a57b8ca7,2025-07-28,TOTH PETER,F-INKIND,12790.0,65.75,840942.5,2025-07-30,61736.0
NEM,951975133c3e,2025-07-01,BROOK BRUCE R,S-SALE,2077.0,58.75,122023.75,2025-07-03,43103.0
NEM,c1547079416a,2025-07-01,TOTH PETER,S-SALE,3000.0,58.75,176250.0,2025-07-03,74526.0
NEM,1724f78f151f,2025-06-02,BROOK BRUCE R,S-SALE,2077.0,54.09,112344.93000000001,2025-06-04,45180.0
NEM,c549a63eef9c,2025-06-02,TOTH PETER,S-SALE,3000.0,54.09,162270.0,2025-06-04,77526.0
NEM,e3edb3be909f,2025-05-01,SEATON DAVID THOMAS,A-AWARD,3495.0,0.0,0.0,2025-05-05,3495.0
NEM,32246130df69,2025-05-01,QUINTANA JULIO M,A-AWARD,3495.0,0.0,0.0,2025-05-05,45152.0
NEM,1e174760c0f9,2025-05-01,NELSON JANE,A-AWARD,3495.0,0.0,0.0,2025-05-05,57642.0
NEM,73f2f0dabd39,2025-05-01,MEDORI RENE,A-AWARD,3495.0,0.0,0.0,2025-05-05,27999.0
NEM,80d733d8e234,2025-05-01,MADERO GARZA JOSE MANUEL,A-AWARD,3495.0,0.0,0.0,2025-05-05,16807.0
NEM,f1d258aa9cc5,2025-05-01,LAYMAN SALLY-ANNE,A-AWARD,3495.0,0.0,0.0,2025-05-05,10007.0
NEM,2ac2e740e37f,2025-05-01,FITZGERALD EMMA,A-AWARD,3495.0,0.0,0.0,2025-05-05,15263.0
NEM,138b6de1a80a,2025-05-01,CONGER HARRY M. IV,A-AWARD,3495.0,0.0,0.0,2025-05-05,7047.0
NEM,9f9139cb94f2,2025-05-01,CLARK MAURA J,A-AWARD,3495.0,0.0,0.0,2025-05-05,19416.0
NEM,8d5b5c088c2d,2025-05-01,BROOK BRUCE R,A-AWARD,3495.0,0.0,0.0,2025-05-05,49334.0
NEM,abcb8e645dbb,2025-05-01,BROOK BRUCE R,S-SALE,2077.0,51.48,106923.95999999999,2025-05-05,47257.0
NEM,d04d74425c53,2025-05-01,BOYCE GREGORY H,A-AWARD,3495.0,0.0,0.0,2025-05-05,45152.0
NEM,574d8bbc3256,2025-05-01,VILJOEN NATASCHA,A-AWARD,12332.0,0.0,0.0,2025-05-05,160576.0
NEM,bb34463d523c,2025-05-01,TOTH PETER,S-SALE,3000.0,51.48,154440.0,2025-05-05,80526.0
NEM,4353f083d016,2025-04-30,SEATON DAVID THOMAS,,0.0,0.0,0.0,2025-05-05,0.0
NEM,bd52f9c5e28c,2025-04-30,WEXLER PETER,F-INKIND,5742.0,52.96,304096.32,2025-05-02,77726.0
NEM,0e0e88c4b2fa,2025-04-30,WEXLER PETER,F-INKIND,4665.0,52.96,247058.4,2025-05-02,73061.0
